Filename,MFS_1,MFS_2,MFS_3,MFS_4,MFS_5,MFS_6,MFS_7,MFS_8,MFS_9,MFS_10,MFS_11,MFS_12,MFS_13,MFS_14,MFS_15,MFS_16,MFS_17,MFS_18,MFS_19,MFS_20,MFS_21
BA01_120_2Slices,-1.5989378965,-0.0980438144,-0.9161071439,-1.3268261495,-1.3318959409,-1.3907248626,-1.0113315147,-0.2960523306,0.5348294172,2.293233201,1.0108625327,0.6629732836,0.5948362592,0.61155723,0.6009616282,0.6685289443,0.8355103567,1.159705866,1.5992864914,1.9888504937,1.1071812299
BA02_120_2Slices,0.81264391,-0.232040524,-0.196440877,-0.2127736407,-0.2024635437,-0.1519613917,0.0344860517,0.2775454998,2.0436652055,0.9426847106,0.8716588658,0.7393875882,0.8374615516,0.9562873428,0.9714424501,1.0097634832,1.0032110963,0.8957146049,0.8212243686,-1.581045682,-0.0745198648
BA05_120_2Slices,-0.0128249812,0.0399401043,0.4210147261,0.4089685233,0.3569156381,0.3420927675,1.1684803594,0.5947372523,0.7450288822,0.5460625975,0.1628446796,-0.114723202,-0.2133363591,-0.2759593891,-0.3630696198,-0.4391378946,-0.4774351855,-0.7692121763,-1.2142535658,-0.6881646957,-0.5460586169
BA07_120_2Slices,-0.8850647989,-1.6655960322,-1.9731539512,-0.9017253297,-0.3584043613,-0.0419892536,0.2929539678,1.3847594435,0.8167970213,0.6787143101,0.2666450971,-0.0252550428,-0.1184341002,-0.188322492,-0.3319846852,-0.4204324776,-0.5044004253,-0.7697191042,-1.1876928534,-0.1780659027,-1.6298571678
BA18_120_2Slices,-0.5824882818,2.3647521601,0.4175155799,-0.3729600245,-0.6754615235,-0.8584480474,-0.9937183421,-1.0705135792,-1.1934168465,-0.431901218,0.4395880343,1.7928826171,1.1505910573,1.4448825674,1.5462982675,1.630355768,1.6753337948,1.6635645778,1.4179759629,0.6838708485,0.4450804255
BA19_120_2Slices,-1.6113613188,-0.0630209525,0.6579661918,0.912843288,0.8009974981,1.1806434086,0.5006380094,0.2458198663,-0.2138140351,-0.8283926829,-1.0131319442,-0.935855752,-0.8399749672,-0.7892735711,-0.6703680424,-0.6007335289,-0.4470334642,-0.2997486282,-0.0128235806,0.26724017,0.410419632
BA21_120_2Slices,-0.6508674974,-0.4923886534,0.656086124,1.1047133748,1.4509868827,0.6882894487,0.4785197009,-0.0018423812,-1.068383309,-2.3183107274,-2.2775405013,-1.8485530057,-1.6549767469,-1.5957993643,-1.4864927193,-1.3518372529,-1.4687996917,-1.2368000151,-1.0342507332,-1.1015232493,0.8651609754
BA22_120_2Slices,-0.0538646047,-0.2894070829,-0.0290054437,-0.0162665415,-0.0115139647,0.044483675,0.2453080304,1.4385416304,0.8377062401,1.0079349042,0.807729519,0.5965282948,0.6018245787,0.6348628335,0.5694836863,0.4879316326,0.3749902022,0.1272061144,-0.5747373131,-0.7497491989,-0.538263956
BA23_120_2Slices,0.7715908485,-0.121699393,0.3647095176,0.4695272111,0.448104087,0.4347238381,1.1743598928,0.5977005472,0.5618073332,0.0425662922,-0.505190429,-0.8017267653,-1.0118556056,-1.187400451,-1.2245232658,-1.3187176073,-1.3215792756,-1.668270215,-1.3748177302,-1.5246539602,-1.0203317935
BA24_120_2Slices,0.7699446946,0.0945216103,0.7517254474,0.7752047452,0.6441254355,1.1753631463,0.5827657507,0.5082889758,0.246989034,-0.4418438465,-0.8548859249,-0.9303683165,-0.9204793785,-0.9518747169,-0.8853097375,-0.8561691257,-0.7767244803,-0.5509945482,-0.4123911657,0.2233361874,1.282651967
BA25_120_2Slices,1.1695972563,0.1717587768,0.7665855193,0.7664450146,0.6027829964,0.5088264552,1.2315741983,0.6490609301,0.7874384423,0.6056995278,0.243111526,-0.008896795,-0.0518878266,-0.0740212645,-0.1182381487,-0.1203887044,-0.0533015553,0.1041136479,0.0921442192,0.1153884907,-0.8854899341
BA27_120_2Slices,-1.7929354488,1.7660070811,-0.0621009373,-0.7036546566,-0.9461873323,-1.1003791885,-1.2779084936,-1.3915094111,-1.6376584883,-0.7577952469,0.3615599257,0.7950333603,2.0020454498,1.3922275646,1.4150492825,1.3697182322,1.2491987751,1.1091616065,1.0686507804,0.9289461442,1.0045855571
BA28_120_2Slices,0.2263107819,0.2280601267,0.7819520131,0.8856725987,0.729670239,1.122563554,0.5426622442,0.4922459833,0.4220433645,0.0509102799,-0.3034191741,-0.4921568958,-0.5437929049,-0.5364997255,-0.5772525556,-0.6082541144,-0.7750353926,-0.7386101143,-0.3732334091,-0.517504205,-1.6298571678
BA32_120_2Slices,0.7374852282,1.1992608893,1.8831020044,1.4351472248,1.4951011317,0.5352695162,0.3280975668,0.0287491478,-0.5521746471,-1.2577734392,-1.3837107235,-1.2815551257,-1.2457595183,-1.1838222293,-1.1074456933,-1.0788636513,-1.0485287132,-0.5931817546,-0.3476664158,0.6708424831,-0.6700171708
BA33_120_2Slices,1.4476158453,-0.5086644868,-1.6212699663,-1.8569612645,-1.6922617576,-1.7798830807,-1.956601447,-1.9431492155,-1.4550045019,-0.2435398179,0.6350882985,1.6859689499,1.181063447,1.4414594021,1.5110257811,1.587459785,1.6872938704,1.7826117854,1.9132411599,1.8654305239,1.5614142694
BA34_120_2Slices,1.0684830955,-1.672760816,-0.2004618089,0.5183406919,0.6411647533,1.1137836398,0.5546864315,0.49767886,0.380541279,-0.0890622284,-0.5134900363,-0.7090829748,-0.7789587211,-0.8154033617,-0.9058497583,-0.8911808058,-0.6999418487,-0.7555855212,-0.5565368221,-0.5140541875,-0.6582852098
BA35_120_2Slices,0.1846731678,-0.7206789935,-1.7021169953,-1.8856950654,-1.9516602378,-1.8226536247,-1.8949724066,-2.0120612189,-1.2563943915,0.200813384,2.0522802545,0.8753997818,1.0116337846,1.1170996249,1.0562731304,0.9319573176,0.7472419369,0.5400438741,0.1758806067,0.1108557397,0.9761868251
